image	type	mode	inode	offset	size	crc32	path	target	extracted_path
image-120000	file	100444	75	26611	2274	78a5c50a	etc/system/enum/include/usb-class		image-120000/etc/system/enum/include/usb-class
image-120000	file	100444	67	28885	1866	7745b2b8	etc/system/enum/include/isa-types		image-120000/etc/system/enum/include/isa-types
image-120000	file	100444	72	30751	1698	4af41810	etc/system/enum/include/pci-class		image-120000/etc/system/enum/include/pci-class
image-120000	file	100444	59	32449	1522	d4c0d616	etc/system/enum/devices/usb/char		image-120000/etc/system/enum/devices/usb/char
image-120000	file	100444	73	33971	1447	18e6bf5a	etc/system/enum/include/pci-vendors		image-120000/etc/system/enum/include/pci-vendors
image-120000	file	100444	76	35418	1026	4725bd34	etc/system/config/cacheflags.conf		image-120000/etc/system/config/cacheflags.conf
image-120000	file	100444	51	36444	917	5afb3001	etc/enum-usb.conf		image-120000/etc/enum-usb.conf
image-120000	file	100444	53	37361	885	575894f4	etc/mcdntfs.mnt		image-120000/etc/mcdntfs.mnt
image-120000	file	100444	60	38246	794	4676fec7	etc/system/enum/devices/usb/ipod		image-120000/etc/system/enum/devices/usb/ipod
image-120000	file	100444	52	39040	766	93e30d17	etc/mcd.mnt		image-120000/etc/mcd.mnt
image-120000	file	100444	69	39806	423	32f78c68	etc/system/enum/include/par-class		image-120000/etc/system/enum/include/par-class
image-120000	file	100444	61	40229	381	345e922d	etc/system/enum/devices/usb/mass		image-120000/etc/system/enum/devices/usb/mass
image-120000	file	100444	70	40610	287	2c0005e3	etc/system/enum/include/pccard-types		image-120000/etc/system/enum/include/pccard-types
image-120000	file	100444	56	40897	278	5e044aa3	etc/system/enum/common		image-120000/etc/system/enum/common
image-120000	file	100444	62	41175	224	e05f7d12	etc/system/enum/devices/usb/mtp		image-120000/etc/system/enum/devices/usb/mtp
image-120000	file	100444	65	41399	149	45186217	etc/system/enum/include/block		image-120000/etc/system/enum/include/block
image-120000	file	100444	71	41548	132	e61aaec5	etc/system/enum/include/pccard-vendors		image-120000/etc/system/enum/include/pccard-vendors
image-120000	file	100444	68	41680	81	fafbfdb9	etc/system/enum/include/net		image-120000/etc/system/enum/include/net
image-120000	file	100444	66	41761	76	99dba97f	etc/system/enum/include/graphics		image-120000/etc/system/enum/include/graphics
image-120000	file	100444	64	41837	69	ce1d4096	etc/system/enum/include/audio		image-120000/etc/system/enum/include/audio
image-120000	file	100444	54	41906	59	6d180ad9	etc/powervr.ini		image-120000/etc/powervr.ini
image-120000	file	100666	78	41965	21	8a43d28a	etc/system/config/authenticationServiceProductID		image-120000/etc/system/config/authenticationServiceProductID
image-120000	file	100555	3221225474	65536	347752	98ddfa58	lib/libcpp.so.4		image-120000/lib/libcpp.so.4
image-120000	symlink	120555	3221225475	0	0	0	lib/libcpp.so	libcpp.so.4	
image-120000	file	100555	3221225476	458752	159537	a2114099	lib/libm.so.2		image-120000/lib/libm.so.2
image-120000	symlink	120555	3221225477	0	0	0	lib/libm.so	libm.so.2	
image-120000	file	100555	3221225478	655360	186766	9850657e	lib/libsocket.so.2		image-120000/lib/libsocket.so.2
image-120000	symlink	120555	3221225479	0	0	0	lib/libsocket.so	libsocket.so.2	
image-120000	file	100555	3221225480	851968	179441	796c1e3a	lib/libsocket.so.3		image-120000/lib/libsocket.so.3
image-120000	file	100555	3221225481	1032192	48115	d26cc22e	lib/libusbdi.so		image-120000/lib/libusbdi.so
image-120000	file	100555	3221225482	1081344	48115	f3f473ac	lib/libusbdi.so.2		image-120000/lib/libusbdi.so.2
image-120000	file	100555	3221225483	1130496	85638	f8e1cab6	lib/libcam.so.2		image-120000/lib/libcam.so.2
image-120000	symlink	120555	3221225484	0	0	0	lib/libcam.so	libcam.so.2	
image-120000	file	100555	3221225485	1216512	66779	fc4bcb2b	lib/dll/devu-dm816x-mg.so		image-120000/lib/dll/devu-dm816x-mg.so
image-120000	file	100555	3221225486	1286144	62282	7304e044	lib/dll/fs-cd.so		image-120000/lib/dll/fs-cd.so
image-120000	file	100555	3221225487	1351680	94728	cc87a78d	lib/dll/fs-dos.so		image-120000/lib/dll/fs-dos.so
image-120000	file	100555	3221225488	1449984	18384	45877e08	lib/dll/cam-disk.so		image-120000/lib/dll/cam-disk.so
image-120000	file	100555	3221225489	1470464	23828	4d177046	lib/dll/cam-cdrom.so		image-120000/lib/dll/cam-cdrom.so
image-120000	file	100555	3221225490	1495040	210838	f0e1f0e1	lib/dll/io-blk.so		image-120000/lib/dll/io-blk.so
image-120000	file	100555	3221225491	1708032	51230	a52c4832	lib/dll/fs-nt.so		image-120000/lib/dll/fs-nt.so
image-120000	file	100555	3221225492	1761280	397110	a25360a2	usr/lib/libssl.so.2		image-120000/usr/lib/libssl.so.2
image-120000	file	100555	3221225496	2158592	1620289	bc56fce1	usr/lib/libcrypto.so.2		image-120000/usr/lib/libcrypto.so.2
image-120000	file	100555	3221225500	3780608	61135	be5de870	usr/lib/libcares.so.1		image-120000/usr/lib/libcares.so.1
image-120000	symlink	120555	3221225501	0	0	0	usr/lib/libcares.so	libcares.so.1	
image-120000	file	100555	3221225502	3842048	610228	50c85d7e	usr/lib/libSecurityComponentAPI.so.1		image-120000/usr/lib/libSecurityComponentAPI.so.1
image-120000	symlink	120555	3221225503	0	0	0	usr/lib/libSecurityComponentAPI.so	libSecurityComponentAPI.so.1	
image-120000	file	100555	3221225504	4452352	8708	c1b2a46b	usr/lib/libkalman.so.1		image-120000/usr/lib/libkalman.so.1
image-120000	symlink	120555	3221225505	0	0	0	usr/lib/libkalman.so	libkalman.so.1	
image-120000	file	100555	3221225506	4464640	9004	f0d6dfd9	usr/lib/graphics/jacinto5/libwfdcfg.so.0		image-120000/usr/lib/graphics/jacinto5/libwfdcfg.so.0
image-120000	symlink	120555	3221225507	0	0	0	usr/lib/graphics/jacinto5/libwfdcfg-j5-modelib-shim.so	libwfdcfg.so.0	
image-120000	file	101555	2147483684	4476928	7021	46df8216	bin/sync		image-120000/bin/sync
image-120000	file	101555	2147483685	4485120	17863	46e09926	bin/mount		image-120000/bin/mount
image-120000	file	101555	2147483686	4505600	73459	1aa59b3a	sbin/devc-seromap		image-120000/sbin/devc-seromap
image-120000	file	101555	2147483687	4579328	130938	716e637	sbin/io-usb		image-120000/sbin/io-usb
image-120000	file	101555	2147483688	4710400	33978	a007198e	sbin/enum-devices		image-120000/sbin/enum-devices
image-120000	file	101555	2147483689	4747264	22703	289e3632	sbin/enum-usb		image-120000/sbin/enum-usb
image-120000	file	101555	2147483690	4771840	46866	7df29a57	sbin/devb-umass		image-120000/sbin/devb-umass
image-120000	file	101555	2147483691	4820992	31088	d976569a	usr/bin/WatchdogService		image-120000/usr/bin/WatchdogService
